/home/abaddon/abaddon7.py:186: DeprecationWarning: Callback API version 1 is deprecated, update to latest version
  self.client = mqtt.Client(client_id=self.node_id)
[*] Global bypass patch applied to 'requests' module.
[2025-10-19 21:21:35] [-] proxies.txt not found. No proxies will be used.
[2025-10-19 21:21:35] [*] Iniciando módulo C2 via MQTT...
[2025-10-19 21:21:35] [*] Agente em modo C2. Aguardando comandos...
[2025-10-19 21:21:35] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:21:37] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:21:40] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:21:42] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:21:44] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:21:46] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:21:48] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:21:50] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:21:52] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:21:54] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:21:57] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:21:59] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:22:01] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:22:03] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:22:05] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:22:07] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:22:09] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:22:12] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:22:14] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:22:16] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:22:18] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:22:20] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:22:22] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:22:24] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:22:26] [+] Conectado ao Broker MQTT com código de resultado: 0
[2025-10-19 21:22:28] [+] Conectado ao Broker MQTT com código de resultado: 0
